"lang"
{
    "Language"    "Russian"
"talent_disc_modifier_hoodwink_scurry_4_1" "Ваши атаки могут нанести дополнительный магический урон в размере 60% от вашей ловкости и оттолкнуть противника<br><br>Шанс срабатывания: <b><font color='#53ea48'>25%</font></b>/<b><font color='#297016'>40%</font></b>"
"talent_disc_modifier_hoodwink_scurry_4_2" "Ваши атаки могут нанести дополнительный магический урон в размере 60% от вашей ловкости и оттолкнуть противника<br><br>Шанс срабатывания: <b><font color='#297016'>25%</font></b>/<b><font color='#53ea48'>40%</font></b>"
"mini_disc_modifier_hoodwink_scurry_4" "Атаки под действием Scurry могут оттолкнуть"








"font_disc_modifier_hoodwink_scurry_5" "21"
"upgrade_disc_modifier_hoodwink_scurry_5_1" "<b><font color='#53ea48'>+1</font></b> секунда действия Scurry<br><br>Ваши атаки продлевают время действия Scurry на <b><font color='#53ea48'>0.3</font></b> секунды"
"mini_disc_modifier_hoodwink_scurry_5" "Атаки продлевают время действия Scurry"




"font_disc_modifier_hoodwink_scurry_6" "18"
"upgrade_disc_modifier_hoodwink_scurry_6_1" "Если вы находились неподалёку от дерева в течение <b><font color='#53ea48'>3</font></b> секунд, вы получаете беспрепятственный обзор, а ваша дальность атаки увеличивается на <b><font color='#53ea48'>150</font></b><br><br>Эффект сохраняется на 3 секунды после того как вы отойдете от дерева"
"mini_disc_modifier_hoodwink_scurry_6" "Получает неограниченный обзор рядом с деревьями"

"DOTA_Tooltip_modifier_hoodwink_scurry_custom_vision"				"Scurry"
"DOTA_Tooltip_modifier_hoodwink_scurry_custom_vision_Description"	"Дальность атаки увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS%</font></b>, получает беспрепятственный обзор"



"font_disc_modifier_hoodwink_scurry_legendary" "19"
"upgrade_disc_modifier_hoodwink_scurry_legendary" "После передвижения на дистанцию в 800, ваша ловкость увеличивается на <b><font color='#fb9531'>30%</font></b>, а ваше базовое время атаки уменьшается до <b><font color='#fb9531'>1.2</font></b> на 3 секунды"
"mini_disc_modifier_hoodwink_scurry_legendary" "Перемещаясь, получает прибавку в скорости атаки и ловкости"


"DOTA_Tooltip_modifier_hoodwink_scurry_custom_legendary"				"Scurry"
"DOTA_Tooltip_modifier_hoodwink_scurry_custom_legendary_Description"	"Базовое время атаки уменьшено до <b><font color='#53ea48'>%fMODIFIER_PROPERTY_BASE_ATTACK_TIME_CONSTANT%</font></b>, ловкость увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%%%</font></b>"


  




"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom"					"Sharpshooter"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_Description"		"Герой готовит смертельный выстрел из своего арбалета. Он наносит <b><font color='#53ea48'>всем противникам</font></b> огромный урон, замедляет их и накладывает истощение. Урон и длительность эффекта становятся максимальными спустя %max_charge_time% сек. подготовки, а выстрел происходит автоматически спустя %misfire_time% сек.\nОтдача отталкивает героя назад на расстояние в %recoil_distance%.<br><br><b><font color='#53ea48'>Наносит крипам %creeps%%% урона</font></b>"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_Lore"				"Первый арбалет-самострел Прохвостка нашла по случайности, но теперь она холит и лелеет свой собственный — и, разумеется, некоторые его детали она у кого-то стянула или добыла другим способом."
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_max_charge_time"		"МАКС. ВРЕМЯ ПОДГОТОВКИ:"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_max_damage"					"МАКС. УРОН:"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_max_slow_debuff_duration" "МАКС. ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_slow_move_pct"				"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_max_charge_time_scepter"	"МАКС. ВРЕМЯ ПОДГОТОВКИ СО СКИПЕТРОМ:"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_custom_arrow_speed_scepter"		"СКОРОСТЬ СНАРЯДА СО СКИПЕТРОМ:"

"DOTA_Tooltip_ability_hoodwink_sharpshooter_release_custom"				"End Sharpshooter"
"DOTA_Tooltip_ability_hoodwink_sharpshooter_release_custom_Description"	"Совершить выстрел и вернуть способность передвигаться и атаковать."
"DOTA_Tooltip_ability_hoodwink_sharpshooter_release_custom_Lore"			"Огонь!"

"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom"				"Sharpshooter"
"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom_Description"	"Существо заряжает способность Sharpshooter, чтобы усилить её урон и эффект; не может атаковать или передвигаться."

"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom_debuff"				"Sharpshooter"
"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom_debuff_Description"	"Пассивные способности отключены, передвижение замедлено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."



"font_disc_modifier_hoodwink_sharp_1" "21"
"upgrade_disc_modifier_hoodwink_sharp_1_1" "Sharpshooter исцеляет вас на <b><font color='#53ea48'>30%</font></b> от наносимого урона<br><br>Эффект в 4 раза слабее против крипов"
"upgrade_disc_modifier_hoodwink_sharp_1_2" "Sharpshooter исцеляет вас на <b><font color='#53ea48'>45%</font></b> от наносимого урона<br><br>Эффект в 4 раза слабее против крипов"
"upgrade_disc_modifier_hoodwink_sharp_1_3" "Sharpshooter исцеляет вас на <b><font color='#53ea48'>60%</font></b> от наносимого урона<br><br>Эффект в 4 раза слабее против крипов"

"talent_disc_modifier_hoodwink_sharp_1_0" "Sharpshooter исцеляет вас на <b><font color='#297016'>30%</font></b>/<b><font color='#297016'>45%</font></b>/<b><font color='#297016'>60%</font></b> от наносимого урона<br><br>Эффект в 4 раза слабее против крипов"
"talent_disc_modifier_hoodwink_sharp_1_1" "Sharpshooter исцеляет вас на <b><font color='#53ea48'>30%</font></b>/<b><font color='#297016'>45%</font></b>/<b><font color='#297016'>60%</font></b> от наносимого урона<br><br>Эффект в 4 раза слабее против крипов"
"talent_disc_modifier_hoodwink_sharp_1_2" "Sharpshooter исцеляет вас на <b><font color='#297016'>30%</font></b>/<b><font color='#53ea48'>45%</font></b>/<b><font color='#297016'>60%</font></b> от наносимого урона<br><br>Эффект в 4 раза слабее против крипов"
"talent_disc_modifier_hoodwink_sharp_1_3" "Sharpshooter исцеляет вас на <b><font color='#297016'>30%</font></b>/<b><font color='#297016'>45%</font></b>/<b><font color='#53ea48'>60%</font></b> от наносимого урона<br><br>Эффект в 4 раза слабее против крипов"



"font_disc_modifier_hoodwink_sharp_2" "23"
"upgrade_disc_modifier_hoodwink_sharp_2_1" "<b><font color='#53ea48'>-10</font></b> секунд перезарядки Sharpshooter"
"upgrade_disc_modifier_hoodwink_sharp_2_2" "<b><font color='#53ea48'>-15</font></b> секунд перезарядки Sharpshooter"
"upgrade_disc_modifier_hoodwink_sharp_2_3" "<b><font color='#53ea48'>-20</font></b> секунд перезарядки Sharpshooter"


"talent_disc_modifier_hoodwink_sharp_2_0" "<b><font color='#297016'>-10</font></b>/<b><font color='#297016'>-15</font></b>/<b><font color='#297016'>-20</font></b> секунд перезарядки Sharpshooter"
"talent_disc_modifier_hoodwink_sharp_2_1" "<b><font color='#53ea48'>-10</font></b>/<b><font color='#297016'>-15</font></b>/<b><font color='#297016'>-20</font></b> секунд перезарядки Sharpshooter"
"talent_disc_modifier_hoodwink_sharp_2_2" "<b><font color='#297016'>-10</font></b>/<b><font color='#53ea48'>-15</font></b>/<b><font color='#297016'>-20</font></b> секунд перезарядки Sharpshooter"
"talent_disc_modifier_hoodwink_sharp_2_3" "<b><font color='#297016'>-10</font></b>/<b><font color='#297016'>-15</font></b>/<b><font color='#53ea48'>-20</font></b> секунд перезарядки Sharpshooter"


"font_disc_modifier_hoodwink_sharp_3" "21"
"upgrade_disc_modifier_hoodwink_sharp_3_1" "Sharpshooter наносит дополнительно <b><font color='#53ea48'>10%</font></b> своего урона от кровотечения<br><br>Длительность кровотечения: 5 секунд<br>Эффект суммируется"
"upgrade_disc_modifier_hoodwink_sharp_3_2" "Sharpshooter наносит дополнительно <b><font color='#53ea48'>20%</font></b> своего урона от кровотечения<br><br>Длительность кровотечения: 5 секунд<br>Эффект суммируется"
"upgrade_disc_modifier_hoodwink_sharp_3_3" "Sharpshooter наносит дополнительно <b><font color='#53ea48'>30%</font></b> своего урона от кровотечения<br><br>Длительность кровотечения: 5 секунд<br>Эффект суммируется"

"talent_disc_modifier_hoodwink_sharp_3_0" "Sharpshooter наносит дополнительно <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#297016'>30%</font></b> своего урона от кровотечения<br><br>Длительность кровотечения: 5 секунд<br>Эффект суммируется"
"talent_disc_modifier_hoodwink_sharp_3_1" "Sharpshooter наносит дополнительно <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#297016'>30%</font></b> своего урона от кровотечения<br><br>Длительность кровотечения: 5 секунд<br>Эффект суммируется"
"talent_disc_modifier_hoodwink_sharp_3_2" "Sharpshooter наносит дополнительно <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>20%</font></b>/<b><font color='#297016'>30%</font></b> своего урона от кровотечения<br><br>Длительность кровотечения: 5 секунд<br>Эффект суммируется"
"talent_disc_modifier_hoodwink_sharp_3_3" "Sharpshooter наносит дополнительно <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#53ea48'>30%</font></b> своего урона от кровотечения<br><br>Длительность кровотечения: 5 секунд<br>Эффект суммируется"


"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom_blood_count"				"Sharpshooter"
"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom_blood_count_Description"	"Получает урон от кровотечения"



"font_disc_modifier_hoodwink_sharp_4" "19"
"upgrade_disc_modifier_hoodwink_sharp_4_1" "За время применения Sharpshooter, вы совершаете дополнительно 2 выстрела<br><br>Первый наносит <b><font color='#53ea48'>15%</font></b> урона, второй <b><font color='#53ea48'>30%</font></b>"
"upgrade_disc_modifier_hoodwink_sharp_4_2" "За время применения Sharpshooter, вы совершаете дополнительно 2 выстрела<br><br>Первый наносит <b><font color='#53ea48'>25%</font></b> урона, второй <b><font color='#53ea48'>50%</font></b>"

"talent_disc_modifier_hoodwink_sharp_4_0" "За время применения Sharpshooter, вы совершаете дополнительно 2 выстрела<br><br>Первый наносит <b><font color='#297016'>15%</font></b>/<b><font color='#297016'>25%</font></b> урона, второй <b><font color='#297016'>30%</font></b>/<b><font color='#297016'>50%</font></b>"
"talent_disc_modifier_hoodwink_sharp_4_1" "За время применения Sharpshooter, вы совершаете дополнительно 2 выстрела<br><br>Первый наносит <b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>25%</font></b> урона, второй <b><font color='#53ea48'>30%</font></b>/<b><font color='#297016'>50%</font></b>"
"talent_disc_modifier_hoodwink_sharp_4_2" "За время применения Sharpshooter, вы совершаете дополнительно 2 выстрела<br><br>Первый наносит <b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>25%</font></b> урона, второй <b><font color='#297016'>30%</font></b>/<b><font color='#53ea48'>50%</font></b>"
"mini_disc_modifier_hoodwink_sharp_4" "Sharpshooter совершает дополнительно 2 выстрела"


"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom_hits"				"Sharpshooter"
"DOTA_Tooltip_modifier_hoodwink_sharpshooter_custom_hits_Description"	"Попаданий Sharpshooter: <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b><br><br> Урон Sharpshooter увеличен на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP2%</font></b>"




"font_disc_modifier_hoodwink_sharp_5" "19"
"upgrade_disc_modifier_hoodwink_sharp_5_1" "Если вы заряжали Sharpshooter больше 4 секунд, урон выстрела увеличивается на <b><font color='#53ea48'>20%</font></b>, а перезарядка способности сокращается на <b><font color='#53ea48'>20%</font></b>"
"mini_disc_modifier_hoodwink_sharp_5" "Sharpshooter можно заряжать до 4 секунд"



"font_disc_modifier_hoodwink_sharp_6" "19"
"upgrade_disc_modifier_hoodwink_sharp_6_1" "Негативный эффект Sharpshooter длится всегда 5 секунд, независимо от времени заряда<br><br>Под действием Sharpshooter, исцеление и регенерация противника уменьшаются на <b><font color='#53ea48'>50%</font></b>"
"mini_disc_modifier_hoodwink_sharp_6" "Sharpshooter снижает исцеление и регенерацию противника"

"font_disc_modifier_hoodwink_sharp_legendary" "18"
"upgrade_disc_modifier_hoodwink_sharp_legendary" "На время применения Sharpshooter, вы получаете неограниченный обзор<br><br>Если вы заряжали Sharpshooter больше 3 секунд, попадание по герою навсегда увеличит урон от способности на <b><font color='#fb9531'>30</font></b>"
"mini_disc_modifier_hoodwink_sharp_legendary" "Попадания Sharpshooter навсегда увеличивают урон от способности"





"Voice.Wraith.1_1"	"КОРОЛЕВСКИЙ СМЕХ"
"Voice.Wraith.1_2"	"Пора помочь своим ничтожным союзникам." 
"Voice.Wraith.2_1"	"На колени, смерд." 
"Voice.Wraith.2_2"	"Как мило." 
"Voice.Wraith.3_1"	"Ну ты и крыса!" 
"Voice.Wraith.3_2"	"Смирись." 
"Voice.Wraith.4_1"	"Ну и чего ты боишься?" 
"Voice.Wraith.5_1"	"Ну давай, убей меня." 
"Voice.Wraith.6_1"	"Смерть моя прислуга" 

"Wraith.Quest_1"	"Займите 1 место, используя основной легендарный талант Wraithfire Blast"
"Wraith.Quest_2"	"Займите 1 место, используя основной легендарный талант Vampiric Spirit"
"Wraith.Quest_3"	"Займите 1 место, используя основной легендарный талант Mortal Strike"
"Wraith.Quest_4"	"Займите 1 место, используя основной легендарный талант Reincarnation"

"Wraith.Quest_5"	"Совершите атаки по героям под действием оглушения или горения Wraithfire Blast"
"Wraith.Quest_6"	"Призовите скелетов с помощью Vampiric Spirit"
"Wraith.Quest_7"	"Нанесите критический урон по героям с помощью Mortal Strike"
"Wraith.Quest_8"	"Вызовите срабатывание Reincarnation от урона героев"



"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom"								"Wraithfire Blast"
"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom_Description"					"Герой опаляет цель призрачным огнём, оглушая её и нанося ей урон. После оглушения цель будет получать периодический урон и замедлится."
"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom_Lore"							"Остарион призывает своих проклятых предков, уничтожая противников."
"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom_Note0"						"Если у героя есть призванные скелеты, они станут атаковать цель этой способности."
"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom_blast_stun_duration"			"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom_blast_dot_duration"			"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom_blast_slow"					"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_custom_blast_dot_damage"				"УРОН В СЕКУНДУ:"


"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_custom_debuff"				"Wraithfire Blast"
"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_custom_debuff_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, и каждую секунду получает урон"

"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_skelet_buff"				"Wraithfire Blast"
"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_skelet_buff_Description"	"Скорость передвижения и скорость атаки увеличены на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%"




"hero_change_npc_dota_hero_skeleton_king_1" "Перезарядка изменена с 17/14/11/8 сек до <b><font color='#ff0000'>16/14/12/10</font></b> сек"
"hero_change_npc_dota_hero_skeleton_king_2" "Aghanim Scepter изменен"





"npc_dota_hero_skeleton_king_legendary_1"	"Wraithfire Blast создает призрака, который перенаправляет урон на цель"
"npc_dota_hero_skeleton_king_legendary_2" 	"Скелеты от Vampiric Split становятся сильнее с каждым призывом"
"npc_dota_hero_skeleton_king_legendary_3" 	"Активная<br><br>Подготавливает усиленный удар Mortal Strike"
"npc_dota_hero_skeleton_king_legendary_4"  	"После смерти продолжает жить в форме призрака. Если призрак выживет, перезарядка Reincarnation сбросится"




"font_disc_modifier_skeleton_blast_1" "20"
"upgrade_disc_modifier_skeleton_blast_1_1" "<b><font color='#53ea48'>+100</font></b> дальности применения Wraithfire Blast<br><br><b><font color='#53ea48'>+0.2</font></b> сек длительности оглушения Wraithfire Blast"
"upgrade_disc_modifier_skeleton_blast_1_2" "<b><font color='#53ea48'>+150</font></b> дальности применения Wraithfire Blast<br><br><b><font color='#53ea48'>+0.3</font></b> сек длительности оглушения Wraithfire Blast"
"upgrade_disc_modifier_skeleton_blast_1_3" "<b><font color='#53ea48'>+200</font></b> дальности применения Wraithfire Blast<br><br><b><font color='#53ea48'>+0.4</font></b> сек длительности оглушения Wraithfire Blast"

"talent_disc_modifier_skeleton_blast_1_0" "<b><font color='#297016'>+100</font></b>/<b><font color='#297016'>+150</font></b>/<b><font color='#297016'>+200</font></b> дальности применения Wraithfire Blast<br><br><b><font color='#297016'>+0.2</font></b>/<b><font color='#297016'>+0.3</font></b>/<b><font color='#297016'>+0.4</font></b> сек длительности оглушения Wraithfire Blast"
"talent_disc_modifier_skeleton_blast_1_1" "<b><font color='#53ea48'>+100</font></b>/<b><font color='#297016'>+150</font></b>/<b><font color='#297016'>+200</font></b> дальности применения Wraithfire Blast<br><br><b><font color='#53ea48'>+0.2</font></b>/<b><font color='#297016'>+0.3</font></b>/<b><font color='#297016'>+0.4</font></b> сек длительности оглушения Wraithfire Blast"
"talent_disc_modifier_skeleton_blast_1_2" "<b><font color='#297016'>+100</font></b>/<b><font color='#53ea48'>+150</font></b>/<b><font color='#297016'>+200</font></b> дальности применения Wraithfire Blast<br><br><b><font color='#297016'>+0.2</font></b>/<b><font color='#53ea48'>+0.3</font></b>/<b><font color='#297016'>+0.4</font></b> сек длительности оглушения Wraithfire Blast"
"talent_disc_modifier_skeleton_blast_1_3" "<b><font color='#297016'>+100</font></b>/<b><font color='#297016'>+150</font></b>/<b><font color='#53ea48'>+200</font></b> дальности применения Wraithfire Blast<br><br><b><font color='#297016'>+0.2</font></b>/<b><font color='#297016'>+0.3</font></b>/<b><font color='#53ea48'>+0.4</font></b> сек длительности оглушения Wraithfire Blast"



"font_disc_modifier_skeleton_blast_2" "20"
"upgrade_disc_modifier_skeleton_blast_2_1" "Применение Wraithfire Blast увеличивает вашу скорость передвижения на <b><font color='#53ea48'>10%</font></b>, а скорость атаки на <b><font color='#53ea48'>30</font></b> на 4 секунды"
"upgrade_disc_modifier_skeleton_blast_2_2" "Применение Wraithfire Blast увеличивает вашу скорость передвижения на <b><font color='#53ea48'>15%</font></b>, а скорость атаки на <b><font color='#53ea48'>40</font></b> на 4 секунды"
"upgrade_disc_modifier_skeleton_blast_2_3" "Применение Wraithfire Blast увеличивает вашу скорость передвижения на <b><font color='#53ea48'>20%</font></b>, а скорость атаки на <b><font color='#53ea48'>50</font></b> на 4 секунды"

"talent_disc_modifier_skeleton_blast_2_0" "Применение Wraithfire Blast увеличивает вашу скорость передвижения на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>, а скорость атаки на <b><font color='#297016'>30</font></b>/<b><font color='#297016'>40</font></b>/<b><font color='#297016'>50</font></b> на 4 секунды"
"talent_disc_modifier_skeleton_blast_2_1" "Применение Wraithfire Blast увеличивает вашу скорость передвижения на <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>, а скорость атаки на <b><font color='#53ea48'>30</font></b>/<b><font color='#297016'>40</font></b>/<b><font color='#297016'>50</font></b> на 4 секунды"
"talent_disc_modifier_skeleton_blast_2_2" "Применение Wraithfire Blast увеличивает вашу скорость передвижения на <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b>, а скорость атаки на <b><font color='#297016'>30</font></b>/<b><font color='#53ea48'>40</font></b>/<b><font color='#297016'>50</font></b> на 4 секунды"
"talent_disc_modifier_skeleton_blast_2_3" "Применение Wraithfire Blast увеличивает вашу скорость передвижения на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b>, а скорость атаки на <b><font color='#297016'>30</font></b>/<b><font color='#297016'>40</font></b>/<b><font color='#53ea48'>50</font></b> на 4 секунды"

"DOTA_tooltip_modifier_skeleton_king_hellfire_blast_custom_speed" "Wraithfire Blast"
"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_custom_speed_description" "Скорость атаки увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%</font></b>, а скорость передвижения на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font></b>"



"font_disc_modifier_skeleton_blast_3" "21"
"upgrade_disc_modifier_skeleton_blast_3_1" "Урон попадания Wraithfire Blast увеличивается на <b><font color='#53ea48'>20%</font></b> от вашего урона атаки, а урон горения на <b><font color='#53ea48'>10%</font></b>"
"upgrade_disc_modifier_skeleton_blast_3_2" "Урон попадания Wraithfire Blast увеличивается на <b><font color='#53ea48'>30%</font></b> от вашего урона атаки, а урон горения на <b><font color='#53ea48'>15%</font></b>"
"upgrade_disc_modifier_skeleton_blast_3_3" "Урон попадания Wraithfire Blast увеличивается на <b><font color='#53ea48'>40%</font></b> от вашего урона атаки, а урон горения на <b><font color='#53ea48'>20%</font></b>"

"talent_disc_modifier_skeleton_blast_3_0" "Урон попадания Wraithfire Blast увеличивается на <b><font color='#297016'>20%</font></b>/<b><font color='#297016'>30%</font></b>/<b><font color='#297016'>40%</font></b> от вашего урона атаки, а урон горения на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_skeleton_blast_3_1" "Урон попадания Wraithfire Blast увеличивается на <b><font color='#53ea48'>20%</font></b>/<b><font color='#297016'>30%</font></b>/<b><font color='#297016'>40%</font></b> от вашего урона атаки, а урон горения на <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_skeleton_blast_3_2" "Урон попадания Wraithfire Blast увеличивается на <b><font color='#297016'>20%</font></b>/<b><font color='#53ea48'>30%</font></b>/<b><font color='#297016'>40%</font></b> от вашего урона атаки, а урон горения на <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_skeleton_blast_3_3" "Урон попадания Wraithfire Blast увеличивается на <b><font color='#297016'>20%</font></b>/<b><font color='#297016'>30%</font></b>/<b><font color='#53ea48'>40%</font></b> от вашего урона атаки, а урон горения на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b>"



"font_disc_modifier_skeleton_blast_4" "20"
"upgrade_disc_modifier_skeleton_blast_4_1" "Ваши атаки по цели Wraithfire Blast наносят дополнительный магический урон, равный <b><font color='#53ea48'>20%</font></b> от урона атаки<br><br>Все противники в радиусе 300 так же получают этот урон"
"upgrade_disc_modifier_skeleton_blast_4_2" "Ваши атаки по цели Wraithfire Blast наносят дополнительный магический урон, равный <b><font color='#53ea48'>30%</font></b> от урона атаки<br><br>Все противники в радиусе 300 так же получают этот урон"

"talent_disc_modifier_skeleton_blast_4_0" "Ваши атаки по цели Wraithfire Blast наносят дополнительный магический урон, равный <b><font color='#297016'>20%</font></b>/<b><font color='#297016'>30%</font></b> от урона атаки<br><br>Все противники в радиусе 300 так же получают этот урон"
"talent_disc_modifier_skeleton_blast_4_1" "Ваши атаки по цели Wraithfire Blast наносят дополнительный магический урон, равный <b><font color='#53ea48'>20%</font></b>/<b><font color='#297016'>30%</font></b> от урона атаки<br><br>Все противники в радиусе 300 так же получают этот урон"
"talent_disc_modifier_skeleton_blast_4_2" "Ваши атаки по цели Wraithfire Blast наносят дополнительный магический урон, равный <b><font color='#297016'>20%</font></b>/<b><font color='#53ea48'>30%</font></b> от урона атаки<br><br>Все противники в радиусе 300 так же получают этот урон"
"mini_disc_modifier_skeleton_blast_4" "Атаки по цели Wraithfire Blast наносят дополнительный урон"




"font_disc_modifier_skeleton_blast_5" "20"
"upgrade_disc_modifier_skeleton_blast_5_1" "<b><font color='#53ea48'>+25%</font></b> к снижению скорости передвижения от Wraithfire Blast<br><br>Ваши атаки обновляют время горения Wraithfire Blast на цели"
"mini_disc_modifier_skeleton_blast_5" "Атаки обновляют время горения Wraithfire Blast"


"font_disc_modifier_skeleton_blast_6" "20"
"upgrade_disc_modifier_skeleton_blast_6_1" "Wraithfire Blast снижает весь наносимый целью урон на <b><font color='#53ea48'>30%</font></b>, а ее исцеление и регенерацию на <b><font color='#53ea48'>50%</font></b><br><br>Длительность: 4 секунды"
"mini_disc_modifier_skeleton_blast_6" "Wraithfire Blast снижает исцеление и урон цели"


"DOTA_tooltip_modifier_skeleton_king_hellfire_blast_healing" "Wraithfire Blast"
"DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_healing_description" "Исцеление и регенерация снижены на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%</font></b>, наносимый урон снижен на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%</font></b>"




"font_disc_modifier_skeleton_blast_legendary" "18"
"upgrade_disc_modifier_skeleton_blast_legendary" "Wraithfire Blast создает неподвижного призрака рядом с целью на <b><font color='#fb9531'>6</font></b> секунд<br><br><b><font color='#fb9531'>50%</font></b> урона который получает призрак, будут так же нанесены вашей цели<br><br>(Сохраняя тип урона и учитывая сопротивление урону цели)"
"mini_disc_modifier_skeleton_blast_legendary" "Wraithfire Blast создает призрака, который разделяет урон с целью"












"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_custom"								"Vampiric Spirit"
"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_custom_Description"					"Герой восстанавливает себе здоровье в зависимости от наносимого атаками урона. Способность можно применить, чтобы призвать скелетов. Каждые два убитых существа дают один заряд, за который можно призвать скелета. Погибшие скелеты возрождаются один раз.<br><br><b><font color='#53ea48'>Способность не тратит заряды на финальной дуэли</font></b>"
"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_custom_Lore"							"Королевский клинок питает ауру хозяина, вытягивая из врагов жизненные силы."
"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_custom_Note1"							"Складывается с другими источниками вампиризма."
"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_custom_vampiric_aura"					"%ВАМПИРИЗМ:"
"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_custom_max_skeleton_charges"			"МАКСИМУМ ЗАРЯДОВ:"
